gpa,attendance,financial_score,credit_hours,scholarship
2.82,72.7,10.5,127.0,Eligible
3.51,81.2,14.7,36.0,Not Eligible
2.46,88.0,92.5,122.0,Not Eligible
2.15,98.1,77.1,86.0,Not Eligible
2.58,64.1,3.9,4.0,Not Eligible
2.32,66.3,18.2,63.0,Not Eligible
3.86,80.4,41.2,109.0,Eligible
3.62,76.7,86.4,8.0,Not Eligible
3.27,76.4,15.1,79.0,Not Eligible
3.74,71.9,72.4,42.0,Not Eligible
3.61,82.4,8.4,26.0,Not Eligible
2.37,95.3,46.7,69.0,Not Eligible
3.79,66.4,72.9,103.0,Eligible
3.08,68.6,6.5,101.0,Eligible
3.61,86.8,20.4,23.0,Not Eligible
3.79,62.2,79.2,45.0,Not Eligible
2.64,87.0,16.4,45.0,Not Eligible
2.22,72.6,66.8,107.0,Not Eligible
2.46,74.3,64.2,65.0,Not Eligible
2.85,76.2,52.0,49.0,Not Eligible
3.64,74.0,20.2,105.0,Eligible
3.72,93.6,41.7,116.0,Eligible
2.01,97.8,62.2,42.0,Not Eligible
3.02,81.9,88.2,128.0,Eligible
2.83,83.3,79.8,70.0,Not Eligible
2.44,62.8,60.7,8.0,Not Eligible
2.24,88.5,22.8,48.0,Not Eligible
2.68,83.4,21.7,71.0,Not Eligible
3.89,62.0,81.4,107.0,Eligible
2.65,67.9,66.4,92.0,Not Eligible
3.04,68.1,35.8,26.0,Not Eligible
3.41,66.8,97.1,55.0,Not Eligible
2.73,86.3,89.0,13.0,Not Eligible
3.94,97.1,67.2,114.0,Eligible
3.92,90.5,36.9,0.0,Not Eligible
2.5,79.1,30.9,34.0,Not Eligible
2.99,76.2,93.9,99.0,Not Eligible
2.6,75.5,44.3,3.0,Not Eligible
2.57,84.0,80.0,94.0,Not Eligible
2.07,74.4,94.0,85.0,Not Eligible
3.22,69.0,49.2,58.0,Not Eligible
3.01,84.1,65.3,18.0,Not Eligible
2.1,75.6,8.6,40.0,Not Eligible
2.56,60.6,65.3,26.0,Not Eligible
3.82,60.9,21.5,1.0,Not Eligible
2.48,71.0,67.1,48.0,Not Eligible
2.29,80.5,10.1,117.0,Not Eligible
2.98,74.2,49.5,62.0,Not Eligible
3.97,61.0,52.1,78.0,Not Eligible
2.48,68.9,48.4,122.0,Not Eligible
3.34,63.9,75.7,59.0,Not Eligible
3.52,97.9,75.5,76.0,Not Eligible
2.48,72.5,70.6,12.0,Not Eligible
3.46,60.6,63.2,17.0,Not Eligible
2.74,86.4,90.4,76.0,Not Eligible
3.26,69.3,57.6,6.0,Not Eligible
3.27,82.7,34.8,5.0,Not Eligible
3.07,66.0,5.9,14.0,Not Eligible
2.18,99.4,53.6,30.0,Not Eligible
3.67,98.8,22.8,13.0,Not Eligible
2.64,86.2,38.7,33.0,Not Eligible
2.37,88.3,5.0,96.0,Not Eligible
2.08,77.0,64.1,54.0,Not Eligible
3.18,98.5,88.7,86.0,Not Eligible
3.36,76.9,32.5,99.0,Not Eligible
2.03,69.6,80.5,43.0,Not Eligible
3.02,64.6,12.6,116.0,Eligible
2.45,68.3,72.3,112.0,Not Eligible
3.29,82.9,8.0,54.0,Not Eligible
2.35,69.8,25.9,107.0,Not Eligible
3.38,86.2,36.0,44.0,Not Eligible
2.77,75.3,15.7,94.0,Not Eligible
3.87,95.5,18.4,126.0,Eligible
2.28,82.3,69.9,41.0,Not Eligible
2.68,84.9,9.6,74.0,Not Eligible
2.23,82.3,93.4,47.0,Not Eligible
3.85,95.4,76.8,65.0,Not Eligible
3.75,62.5,35.7,28.0,Not Eligible
2.52,62.7,62.9,56.0,Not Eligible
3.32,88.1,71.9,84.0,Not Eligible
3.63,90.7,59.4,45.0,Not Eligible
3.11,77.3,61.8,38.0,Not Eligible
3.06,74.1,91.6,43.0,Not Eligible
2.48,71.1,88.1,41.0,Not Eligible
2.19,69.4,91.4,21.0,Not Eligible
3.79,96.5,88.5,118.0,Eligible
3.8,71.8,68.5,124.0,Eligible
3.27,85.9,49.2,34.0,Not Eligible
2.68,91.5,48.7,80.0,Not Eligible
2.7,60.9,77.2,41.0,Not Eligible
3.45,61.4,92.4,75.0,Not Eligible
3.79,73.3,8.8,38.0,Not Eligible
3.77,87.8,87.7,8.0,Not Eligible
3.56,70.4,85.0,19.0,Not Eligible
3.28,60.1,8.8,68.0,Not Eligible
2.17,71.5,65.7,32.0,Not Eligible
2.32,63.6,97.2,63.0,Not Eligible
3.8,68.8,85.2,118.0,Eligible
3.21,73.3,6.3,5.0,Not Eligible
2.02,65.1,92.5,106.0,Not Eligible
2.2,88.3,17.3,63.0,Not Eligible
3.33,70.2,7.2,20.0,Not Eligible
2.01,86.4,22.8,30.0,Not Eligible
2.32,84.0,48.3,129.0,Not Eligible
3.1,95.9,81.5,45.0,Not Eligible
3.38,63.5,26.7,8.0,Not Eligible
3.3,68.6,39.0,76.0,Not Eligible
2.45,94.6,14.1,25.0,Not Eligible
3.42,92.9,29.2,117.0,Eligible
2.47,67.7,90.2,46.0,Not Eligible
2.65,64.3,68.1,80.0,Not Eligible
3.49,94.2,67.4,111.0,Eligible
3.3,67.1,25.0,128.0,Eligible
3.7,94.8,14.6,125.0,Eligible
3.32,98.4,88.7,15.0,Not Eligible
3.14,68.8,94.4,44.0,Not Eligible
2.19,93.6,5.4,84.0,Not Eligible
2.74,77.0,53.0,16.0,Not Eligible
2.53,91.6,44.0,50.0,Not Eligible
2.49,76.3,73.8,124.0,Not Eligible
3.95,62.8,30.2,25.0,Not Eligible
2.79,88.5,62.1,65.0,Not Eligible
3.78,66.0,8.3,6.0,Not Eligible
3.26,97.1,82.3,83.0,Not Eligible
3.59,76.7,23.9,77.0,Not Eligible
3.01,63.3,31.4,109.0,Eligible
3.15,69.1,37.8,113.0,Eligible
2.99,94.5,20.7,28.0,Not Eligible
2.39,72.8,80.9,112.0,Not Eligible
3.44,94.3,6.9,127.0,Eligible
2.56,66.9,93.4,115.0,Eligible
2.05,78.7,93.1,112.0,Not Eligible
3.29,95.1,82.7,74.0,Not Eligible
2.35,61.9,95.2,85.0,Not Eligible
3.88,72.2,76.1,102.0,Eligible
3.91,96.4,56.3,23.0,Not Eligible
3.83,83.9,72.2,127.0,Eligible
2.74,88.6,0.4,39.0,Not Eligible
2.03,93.7,68.5,67.0,Not Eligible
3.86,80.9,4.2,71.0,Not Eligible
2.86,93.8,88.8,109.0,Eligible
3.93,85.6,89.7,61.0,Not Eligible
3.93,87.4,11.4,54.0,Not Eligible
3.71,66.1,68.0,46.0,Not Eligible
2.59,97.6,66.8,115.0,Eligible
2.77,91.8,49.8,111.0,Eligible
3.7,70.2,2.5,56.0,Not Eligible
2.63,83.2,11.4,54.0,Not Eligible
2.34,75.1,65.9,25.0,Not Eligible
3.11,86.4,53.0,65.0,Not Eligible
3.87,99.7,4.6,44.0,Not Eligible
3.39,61.8,51.8,53.0,Not Eligible
3.14,98.1,84.9,25.0,Not Eligible
2.19,62.9,89.0,80.0,Not Eligible
3.23,78.4,69.7,57.0,Not Eligible
3.98,79.3,66.3,118.0,Eligible
2.28,70.7,76.9,55.0,Not Eligible
3.04,82.7,13.3,102.0,Eligible
3.75,93.4,19.0,77.0,Not Eligible
3.48,71.8,48.6,117.0,Eligible
3.39,62.8,45.1,112.0,Eligible
3.4,85.3,18.4,112.0,Eligible
2.72,90.1,67.8,127.0,Eligible
2.59,98.2,74.1,14.0,Not Eligible
3.62,66.4,27.1,36.0,Not Eligible
3.62,96.1,31.3,0.0,Not Eligible
3.73,79.3,25.7,105.0,Eligible
3.83,69.4,27.9,91.0,Not Eligible
3.02,98.5,36.5,121.0,Eligible
3.0,69.5,44.1,92.0,Not Eligible
3.6,89.3,48.4,8.0,Not Eligible
3.3,91.4,48.5,28.0,Not Eligible
3.4,77.2,61.7,12.0,Not Eligible
3.59,87.6,34.4,2.0,Not Eligible
3.78,82.9,50.3,35.0,Not Eligible
2.68,67.7,50.6,75.0,Not Eligible
2.75,90.4,9.7,113.0,Eligible
2.19,97.1,62.9,86.0,Not Eligible
3.16,79.5,27.8,24.0,Not Eligible
2.07,99.8,4.7,63.0,Not Eligible
2.93,77.1,64.7,30.0,Not Eligible
3.09,79.2,4.8,78.0,Not Eligible
2.57,87.0,44.2,78.0,Not Eligible
3.18,67.4,62.1,46.0,Not Eligible
2.06,96.1,99.9,22.0,Not Eligible
2.07,92.1,51.5,93.0,Not Eligible
3.65,94.9,31.8,39.0,Not Eligible
2.72,84.4,49.2,121.0,Eligible
2.25,95.3,19.6,51.0,Not Eligible
3.04,87.2,43.8,1.0,Not Eligible
3.54,80.5,87.3,70.0,Not Eligible
2.43,97.3,13.6,66.0,Not Eligible
3.25,77.6,53.0,46.0,Not Eligible
2.17,80.0,62.1,17.0,Not Eligible
2.1,66.8,31.3,88.0,Not Eligible
3.06,97.9,73.6,39.0,Not Eligible
3.08,68.8,66.4,6.0,Not Eligible
3.27,68.1,46.4,119.0,Eligible
3.45,64.0,64.0,21.0,Not Eligible
3.95,78.1,84.0,19.0,Not Eligible
3.03,70.9,60.0,19.0,Not Eligible
2.65,89.6,56.9,31.0,Not Eligible
3.59,72.3,62.1,30.0,Not Eligible
2.54,88.8,67.6,18.0,Not Eligible
2.88,67.8,40.3,99.0,Not Eligible
2.16,69.2,83.7,94.0,Not Eligible
2.05,92.2,92.4,5.0,Not Eligible
3.93,74.8,62.2,16.0,Not Eligible
3.67,64.5,88.7,103.0,Eligible
3.39,98.5,74.5,69.0,Not Eligible
2.82,67.1,42.3,27.0,Not Eligible
2.35,66.0,49.6,103.0,Not Eligible
2.31,74.3,57.0,96.0,Not Eligible
2.5,63.8,93.9,94.0,Not Eligible
3.1,66.2,64.8,11.0,Not Eligible
3.43,93.9,50.9,98.0,Not Eligible
3.32,66.9,12.3,52.0,Not Eligible
2.56,64.5,66.7,28.0,Not Eligible
3.91,95.2,55.5,60.0,Not Eligible
3.48,77.8,94.0,39.0,Not Eligible
3.11,66.3,34.2,113.0,Eligible
3.22,83.3,79.5,67.0,Not Eligible
2.84,61.7,28.3,91.0,Not Eligible
2.5,77.1,17.2,11.0,Not Eligible
2.71,83.6,1.2,41.0,Not Eligible
3.52,98.3,89.5,89.0,Not Eligible
2.03,73.1,44.5,36.0,Not Eligible
2.23,90.6,28.1,75.0,Not Eligible
2.09,65.3,40.3,36.0,Not Eligible
2.08,77.3,71.2,33.0,Not Eligible
3.71,68.9,39.3,28.0,Not Eligible
3.41,79.7,22.6,30.0,Not Eligible
2.95,76.7,8.8,97.0,Not Eligible
2.2,99.2,62.2,5.0,Not Eligible
2.98,96.7,97.3,32.0,Not Eligible
2.95,83.3,63.5,118.0,Eligible
2.35,67.1,94.7,42.0,Not Eligible
2.87,82.3,87.8,49.0,Not Eligible
2.8,91.7,15.6,103.0,Eligible
3.23,61.5,87.9,92.0,Not Eligible
3.27,77.4,0.1,3.0,Not Eligible
2.09,61.7,51.0,14.0,Not Eligible
2.75,69.8,52.3,56.0,Not Eligible
3.25,63.7,72.7,65.0,Not Eligible
3.01,98.4,75.6,22.0,Not Eligible
3.71,66.8,23.2,32.0,Not Eligible
3.32,66.0,88.2,102.0,Eligible
2.33,98.9,17.9,51.0,Not Eligible
2.14,80.6,96.1,103.0,Not Eligible
3.28,90.3,98.5,97.0,Not Eligible
2.05,73.1,69.7,49.0,Not Eligible
3.17,81.3,64.9,109.0,Eligible
3.88,60.3,97.9,80.0,Not Eligible
3.15,76.4,24.2,4.0,Not Eligible
2.78,82.2,64.3,25.0,Not Eligible
3.29,80.6,40.6,27.0,Not Eligible
2.92,76.2,16.8,1.0,Not Eligible
3.09,91.5,12.8,91.0,Not Eligible
3.88,80.1,70.0,93.0,Not Eligible
2.77,85.4,22.9,106.0,Eligible
3.92,67.4,59.9,63.0,Not Eligible
3.81,94.5,23.8,43.0,Not Eligible
2.39,74.5,45.4,87.0,Not Eligible
2.14,79.3,74.2,98.0,Not Eligible
2.2,74.1,52.8,101.0,Not Eligible
2.04,95.7,87.1,68.0,Not Eligible
2.19,96.0,52.6,34.0,Not Eligible
3.37,69.0,19.4,12.0,Not Eligible
2.14,90.1,89.7,65.0,Not Eligible
2.64,64.1,41.8,43.0,Not Eligible
3.69,61.2,86.7,121.0,Eligible
2.05,93.5,23.2,128.0,Not Eligible
3.63,65.2,63.6,3.0,Not Eligible
2.56,66.2,16.5,120.0,Eligible
2.24,84.3,8.0,65.0,Not Eligible
3.39,92.7,99.9,92.0,Not Eligible
3.26,67.6,1.1,23.0,Not Eligible
3.75,64.6,59.1,113.0,Eligible
3.47,63.1,1.3,19.0,Not Eligible
3.61,61.0,55.2,96.0,Not Eligible
2.56,64.7,10.0,98.0,Not Eligible
2.35,97.7,78.8,4.0,Not Eligible
3.5,63.8,29.3,76.0,Not Eligible
3.61,83.9,34.4,84.0,Not Eligible
3.98,96.8,25.2,100.0,Eligible
2.83,85.1,11.4,86.0,Not Eligible
2.74,61.3,50.0,7.0,Not Eligible
3.55,83.9,44.8,62.0,Not Eligible
2.68,96.1,53.9,107.0,Eligible
3.86,72.9,62.6,78.0,Not Eligible
3.72,72.5,8.9,20.0,Not Eligible
2.86,70.0,41.4,22.0,Not Eligible
3.5,80.2,59.3,41.0,Not Eligible
3.51,69.5,32.3,66.0,Not Eligible
2.21,89.0,19.1,43.0,Not Eligible
3.81,85.8,60.6,25.0,Not Eligible
3.01,76.0,71.8,79.0,Not Eligible
3.65,88.9,75.1,107.0,Eligible
2.64,63.9,32.6,80.0,Not Eligible
3.79,90.0,9.9,19.0,Not Eligible
2.78,84.1,91.6,5.0,Not Eligible
2.02,85.2,68.8,77.0,Not Eligible
3.81,62.6,94.8,127.0,Eligible
2.18,84.7,14.6,25.0,Not Eligible
2.64,79.8,65.7,79.0,Not Eligible
3.9,79.4,19.6,61.0,Not Eligible
3.9,72.9,86.6,108.0,Eligible
3.15,60.3,52.0,8.0,Not Eligible
3.26,76.9,53.3,57.0,Not Eligible
2.9,76.0,93.1,39.0,Not Eligible
2.59,76.9,30.4,32.0,Not Eligible
2.66,84.5,61.9,96.0,Not Eligible
3.35,72.0,14.4,26.0,Not Eligible
3.5,70.8,36.3,47.0,Not Eligible
3.58,79.9,19.5,116.0,Eligible
3.58,83.7,20.1,100.0,Eligible
2.18,82.7,66.1,88.0,Not Eligible
2.99,95.3,28.6,48.0,Not Eligible
2.12,90.8,25.1,86.0,Not Eligible
3.1,62.1,80.8,21.0,Not Eligible
2.88,82.5,47.4,81.0,Not Eligible
3.78,76.7,38.0,28.0,Not Eligible
2.7,74.4,81.5,22.0,Not Eligible
2.23,98.3,48.9,96.0,Not Eligible
2.29,78.3,81.5,106.0,Not Eligible
3.52,88.8,31.8,110.0,Eligible
3.24,98.7,96.2,9.0,Not Eligible
2.2,66.0,92.4,17.0,Not Eligible
2.17,62.2,82.4,117.0,Not Eligible
3.4,72.5,21.3,51.0,Not Eligible
2.15,61.8,72.7,94.0,Not Eligible
3.64,64.7,81.8,44.0,Not Eligible
3.41,99.7,36.3,27.0,Not Eligible
2.16,98.4,14.0,123.0,Not Eligible
2.17,87.7,27.0,28.0,Not Eligible
3.97,90.1,58.6,81.0,Not Eligible
2.75,65.6,25.2,44.0,Not Eligible
2.74,83.8,66.2,121.0,Eligible
3.63,66.2,39.2,106.0,Eligible
3.89,75.1,22.6,34.0,Not Eligible
3.97,73.8,61.3,53.0,Not Eligible
3.51,84.6,7.4,70.0,Not Eligible
2.75,63.2,62.5,5.0,Not Eligible
2.17,64.1,97.4,40.0,Not Eligible
3.55,84.4,71.1,86.0,Not Eligible
3.12,85.4,32.8,9.0,Not Eligible
2.85,73.6,90.1,40.0,Not Eligible
3.81,65.9,52.8,85.0,Not Eligible
2.22,95.4,52.8,30.0,Not Eligible
2.99,62.1,37.8,30.0,Not Eligible
2.02,88.7,5.2,26.0,Not Eligible
2.94,65.6,27.0,104.0,Eligible
2.11,85.5,81.8,100.0,Not Eligible
2.24,86.5,26.0,94.0,Not Eligible
2.24,92.2,41.2,107.0,Not Eligible
3.3,75.8,63.4,17.0,Not Eligible
3.49,60.9,28.2,88.0,Not Eligible
3.17,92.4,81.2,63.0,Not Eligible
3.92,77.8,89.9,40.0,Not Eligible
2.75,93.9,6.2,49.0,Not Eligible
2.57,91.0,57.5,66.0,Not Eligible
3.74,79.9,34.9,53.0,Not Eligible
2.45,100.0,55.4,20.0,Not Eligible
3.93,78.5,54.7,75.0,Not Eligible
2.02,87.9,1.0,6.0,Not Eligible
3.94,86.8,64.8,31.0,Not Eligible
2.09,80.7,21.6,100.0,Not Eligible
3.78,83.4,55.9,38.0,Not Eligible
3.06,91.9,89.5,122.0,Eligible
3.99,82.9,19.2,109.0,Eligible
2.15,78.0,27.0,50.0,Not Eligible
3.11,86.5,6.4,117.0,Eligible
3.94,61.4,49.2,22.0,Not Eligible
3.05,64.4,87.0,26.0,Not Eligible
3.26,65.0,54.5,109.0,Eligible
3.39,77.0,35.2,107.0,Eligible
2.91,94.9,90.6,97.0,Not Eligible
3.26,85.7,53.2,103.0,Eligible
3.17,98.9,97.4,73.0,Not Eligible
3.8,61.6,75.0,10.0,Not Eligible
2.09,88.9,91.1,116.0,Not Eligible
2.56,72.6,64.8,17.0,Not Eligible
3.9,60.9,98.9,22.0,Not Eligible
3.78,93.0,52.5,103.0,Eligible
2.91,66.5,64.1,7.0,Not Eligible
3.24,68.6,13.4,64.0,Not Eligible
2.55,73.6,93.7,35.0,Not Eligible
2.38,91.5,33.5,44.0,Not Eligible
2.93,85.0,66.5,50.0,Not Eligible
2.71,70.6,36.1,23.0,Not Eligible
3.17,66.7,88.5,105.0,Eligible
2.16,64.4,11.0,37.0,Not Eligible
3.95,66.0,90.1,53.0,Not Eligible
3.97,94.7,62.6,10.0,Not Eligible
3.4,96.9,95.7,13.0,Not Eligible
3.07,98.7,50.4,78.0,Not Eligible
2.62,93.4,49.3,55.0,Not Eligible
3.63,95.5,35.9,64.0,Not Eligible
3.37,92.6,32.9,78.0,Not Eligible
2.33,98.3,12.3,111.0,Not Eligible
3.82,93.8,32.7,31.0,Not Eligible
3.65,78.5,60.9,6.0,Not Eligible
3.9,72.9,8.4,65.0,Not Eligible
3.45,83.4,18.6,74.0,Not Eligible
3.23,84.3,86.0,6.0,Not Eligible
2.84,83.0,9.1,17.0,Not Eligible
3.87,88.3,24.1,114.0,Eligible
3.73,88.0,0.4,2.0,Not Eligible
2.09,63.5,71.9,104.0,Not Eligible
2.05,71.4,85.1,91.0,Not Eligible
2.75,95.6,88.0,124.0,Eligible
3.62,83.6,90.0,30.0,Not Eligible
3.97,73.1,40.4,28.0,Not Eligible
2.3,94.0,56.0,69.0,Not Eligible
3.19,70.0,67.8,63.0,Not Eligible
2.76,76.4,91.5,86.0,Not Eligible
3.94,71.1,79.6,89.0,Not Eligible
3.68,94.9,48.9,7.0,Not Eligible
3.68,89.1,51.0,77.0,Not Eligible
2.94,78.4,33.6,89.0,Not Eligible
2.83,97.3,1.2,53.0,Not Eligible
2.55,97.1,14.4,116.0,Eligible
2.11,88.5,33.2,60.0,Not Eligible
3.73,95.7,60.6,101.0,Eligible
3.63,88.8,71.4,13.0,Not Eligible
4.0,85.1,89.1,122.0,Eligible
3.99,76.8,55.5,63.0,Not Eligible
3.11,70.9,39.4,25.0,Not Eligible
3.54,62.4,69.1,14.0,Not Eligible
3.89,92.0,39.2,65.0,Not Eligible
3.7,64.9,10.8,25.0,Not Eligible
2.49,76.4,0.4,31.0,Not Eligible
2.9,69.4,70.8,6.0,Not Eligible
2.26,78.2,89.9,120.0,Not Eligible
3.91,72.6,67.8,51.0,Not Eligible
3.21,93.2,2.8,105.0,Eligible
2.46,99.1,21.9,104.0,Not Eligible
3.34,97.7,94.6,98.0,Not Eligible
3.24,84.9,71.0,105.0,Eligible
2.72,99.2,73.7,3.0,Not Eligible
2.23,76.0,80.6,93.0,Not Eligible
3.34,80.9,91.3,103.0,Eligible
3.04,70.3,43.9,50.0,Not Eligible
3.54,95.9,43.0,67.0,Not Eligible
3.04,67.2,2.3,106.0,Eligible
3.7,84.4,93.7,120.0,Eligible
3.1,92.0,13.1,55.0,Not Eligible
3.12,83.8,45.1,43.0,Not Eligible
3.75,63.2,60.0,25.0,Not Eligible
2.81,84.5,99.4,30.0,Not Eligible
2.27,90.7,39.9,41.0,Not Eligible
2.06,67.5,66.9,4.0,Not Eligible
3.51,89.5,95.3,108.0,Eligible
3.24,95.1,57.1,113.0,Eligible
3.41,99.5,53.4,14.0,Not Eligible
2.43,76.4,57.3,107.0,Not Eligible
2.27,61.0,81.8,80.0,Not Eligible
2.03,76.8,4.3,38.0,Not Eligible
2.7,86.4,76.0,23.0,Not Eligible
3.18,95.7,17.2,111.0,Eligible
2.78,97.5,76.7,111.0,Eligible
2.87,96.4,80.0,66.0,Not Eligible
3.81,86.3,62.6,124.0,Eligible
2.7,87.3,43.9,76.0,Not Eligible
3.03,60.1,73.2,61.0,Not Eligible
3.57,74.5,1.9,24.0,Not Eligible
2.79,96.3,64.9,21.0,Not Eligible
3.24,87.6,23.2,29.0,Not Eligible
3.72,78.7,66.0,118.0,Eligible
3.9,64.2,13.8,31.0,Not Eligible
2.29,69.9,18.0,118.0,Not Eligible
3.85,82.2,45.2,98.0,Not Eligible
2.98,95.9,53.0,67.0,Not Eligible
2.52,63.8,41.6,50.0,Not Eligible
2.92,66.2,61.1,27.0,Not Eligible
3.96,86.2,5.3,84.0,Not Eligible
2.99,71.8,19.3,127.0,Eligible
2.66,66.8,0.4,115.0,Eligible
3.27,67.1,56.6,38.0,Not Eligible
2.48,79.7,69.1,128.0,Not Eligible
2.15,83.3,48.4,104.0,Not Eligible
2.26,96.2,46.1,88.0,Not Eligible
2.26,81.2,42.6,14.0,Not Eligible
2.3,87.7,33.6,103.0,Not Eligible
2.28,67.2,58.8,14.0,Not Eligible
3.28,88.5,0.6,65.0,Not Eligible
2.36,85.9,59.5,101.0,Not Eligible
2.69,68.6,49.0,16.0,Not Eligible
3.79,86.8,62.6,117.0,Eligible
2.95,68.5,85.4,119.0,Eligible
3.34,83.7,82.9,82.0,Not Eligible
2.34,86.8,80.7,94.0,Not Eligible
2.38,87.7,41.1,55.0,Not Eligible
2.08,96.4,39.0,46.0,Not Eligible
2.34,97.9,20.7,101.0,Not Eligible
2.56,92.4,3.2,21.0,Not Eligible
2.35,95.1,50.5,73.0,Not Eligible
2.18,60.8,97.5,65.0,Not Eligible
2.24,74.5,75.2,97.0,Not Eligible
2.92,61.6,54.7,110.0,Eligible
2.41,69.0,29.8,84.0,Not Eligible
2.73,75.3,12.2,121.0,Eligible
3.01,94.7,26.4,56.0,Not Eligible
3.38,80.5,53.4,110.0,Eligible
2.08,86.0,62.4,24.0,Not Eligible
3.6,74.5,36.6,1.0,Not Eligible
3.26,84.1,10.5,82.0,Not Eligible
2.16,92.6,26.3,23.0,Not Eligible
3.75,72.0,25.7,127.0,Eligible
